n_estimators,max_depth,cv_auc
50,4,0.7758960197619243
100,4,0.7767398220805528
200,4,0.7764535040256655
300,4,0.7762635025541831
500,4,0.7762779982190986
50,6,0.7799052914487543
100,6,0.7802530524135923
200,6,0.7805170385281998
300,6,0.7805704757311249
500,6,0.780643651735289
50,8,0.7808795524451506
100,8,0.7813644163594597
200,8,0.7820462435069441
300,8,0.7819556050062164
500,8,0.7822735065920325
50,10,0.7780382153048719
100,10,0.7803433231063561
200,10,0.7811474210695064
300,10,0.7811681147972795
500,10,0.7814794116339805
50,14,0.7743911283878846
100,14,0.776519476597982
200,14,0.7779924191083454
300,14,0.7782456858699028
500,14,0.7785892475229972
