learning_rate,max_depth,cv_auc
0.005,3,0.7837703497219379
0.01,3,0.7850034065943756
0.02,3,0.7835109979860396
0.05,3,0.7769968006115541
0.1,3,0.7683719963573816
0.005,4,0.7845655455841226
0.01,4,0.7847282564154561
0.02,4,0.7815901299569112
0.05,4,0.7711391729061093
0.1,4,0.7588918438682134
0.005,5,0.784375793840703
0.01,5,0.7826277345878295
0.02,5,0.777473721376514
0.05,5,0.7649965856313172
0.1,5,0.7532635459588433
0.005,6,0.7829970789322958
0.01,6,0.779818806184459
0.02,6,0.7733204162976797
0.05,6,0.7605848384610712
0.1,6,0.7471202954061915
0.005,8,0.7792560472720024
0.01,8,0.7746376747635535
0.02,8,0.7665495916125212
0.05,8,0.7556380742581557
0.1,8,0.7455679807733009
