model,number,value,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_colsample_bytree,params_learning_rate,params_reg_alpha,params_reg_lambda,params_subsample
RandomForest,0,0.779738298247872,16,sqrt,8.0,7.0,400,,,,,
RandomForest,1,0.7810315679452998,12,sqrt,8.0,2.0,800,,,,,
RandomForest,2,0.7817428760858952,7,0.5,4.0,6.0,300,,,,,
RandomForest,3,0.7817716085547353,8,sqrt,4.0,6.0,200,,,,,
RandomForest,4,0.7818651014142491,5,0.5,7.0,3.0,600,,,,,
RandomForest,5,0.7811744138172491,8,0.5,1.0,8.0,700,,,,,
RandomForest,6,0.7724422909892807,15,0.5,3.0,7.0,200,,,,,
RandomForest,7,0.7762101023015232,16,0.5,8.0,10.0,300,,,,,
RandomForest,8,0.7813714379138357,7,0.5,1.0,4.0,200,,,,,
RandomForest,9,0.7813813074633554,8,0.5,6.0,3.0,400,,,,,
RandomForest,10,0.7792423022569112,5,log2,10.0,10.0,600,,,,,
RandomForest,11,0.7792235395018599,5,sqrt,5.0,5.0,600,,,,,
RandomForest,12,0.7819411537862432,10,log2,6.0,2.0,500,,,,,
RandomForest,13,0.7814823466594479,11,log2,6.0,2.0,500,,,,,
RandomForest,14,0.7816283806621268,11,log2,7.0,3.0,600,,,,,
RandomForest,15,0.7808476053850203,14,log2,10.0,4.0,500,,,,,
RandomForest,16,0.7820551349574831,10,log2,6.0,2.0,800,,,,,
RandomForest,17,0.7811500816889989,10,log2,3.0,2.0,800,,,,,
RandomForest,18,0.7816374732581134,10,log2,5.0,4.0,700,,,,,
RandomForest,19,0.7800245656591891,13,log2,6.0,2.0,700,,,,,
RandomForest,20,0.7825412230762605,10,log2,9.0,3.0,800,,,,,
RandomForest,21,0.7825412230762605,10,log2,9.0,3.0,800,,,,,
RandomForest,22,0.7824000336220877,9,log2,9.0,3.0,800,,,,,
RandomForest,23,0.7824000336220877,9,log2,9.0,4.0,800,,,,,
RandomForest,24,0.7808742856655434,12,log2,9.0,5.0,700,,,,,
RandomForest,25,0.7824000336220877,9,log2,9.0,3.0,800,,,,,
RandomForest,26,0.7813600987585391,12,log2,10.0,5.0,700,,,,,
RandomForest,27,0.7821105692451937,7,log2,9.0,3.0,800,,,,,
RandomForest,28,0.7824878937576021,9,log2,8.0,4.0,700,,,,,
RandomForest,29,0.7821082610658687,11,sqrt,8.0,5.0,700,,,,,
XGBoost,0,0.7524438826969695,7,,,,600,0.5780093202212182,0.0862735828664018,0.0029375384576328283,0.13066739238053282,0.7993292420985183
XGBoost,1,0.7586809041613303,7,,,,1100,0.9849549260809971,0.03027182927734624,0.31428808908401085,0.26587543983272705,0.5102922471479012
XGBoost,2,0.784248299342039,4,,,,400,0.7159725093210578,0.008661333735273127,0.007476312062252299,1.673808578875213,0.762378215816119
XGBoost,3,0.7841139489047129,5,,,,400,0.8925879806965068,0.011996621453406362,0.003972110727381913,1.0677482709481354,0.728034992108518
XGBoost,4,0.7833927370536733,6,,,,800,0.5325257964926398,0.005746499650110705,0.7025166339242157,8.536189862866832,0.5852620618436457
XGBoost,5,0.7840056365101857,3,,,,1100,0.7200762468698007,0.012453219846912198,0.002323350351539011,0.9780337016659408,0.8421165132560784
XGBoost,6,0.7758847085083369,4,,,,300,0.6558555380447055,0.07621195864233186,0.03632486956676605,1.2399967836846095,0.831261142176991
XGBoost,7,0.7604477242171599,7,,,,400,0.9474136752138245,0.09129115219600122,0.06218704727769078,6.978281265126036,0.9697494707820946
XGBoost,8,0.7825230041059565,3,,,,300,0.6943386448447411,0.008993931736681457,0.006516990611177174,4.544383960336017,0.6626651653816322
XGBoost,9,0.7821886184402725,6,,,,600,0.9010984903770198,0.011600433752378412,0.0016736010167825778,9.41399304682995,0.5704621124873813
XGBoost,10,0.7636927181824775,8,,,,900,0.7978634791402932,0.028225592193756983,0.01857537375597867,2.5837679876165156,0.9661451709558937
XGBoost,11,0.7811221547800015,5,,,,500,0.8485779491700471,0.01818433194730547,0.009140176858540348,0.7391158974631251,0.7217205141169344
XGBoost,12,0.7839100187938375,4,,,,500,0.8158215045752568,0.005532107933185878,0.0010522615607613977,2.078077745371533,0.7317081039964317
XGBoost,13,0.7782864011932481,5,,,,700,0.7371413413327704,0.020359614624625377,0.006288671222545471,0.4696912433283829,0.7134313151821792
XGBoost,14,0.783814606654399,4,,,,400,0.622344146322471,0.00815641408367057,0.09777307763661357,2.3793537960598523,0.9056421932528459
XGBoost,15,0.7840766949185694,5,,,,300,0.8938401679908423,0.013474030853201702,0.017387706430988113,0.46614044215844125,0.652930899718851
XGBoost,16,0.7847510632872112,4,,,,500,0.7658043020703486,0.00807108410523445,0.0039215698155260935,1.513713151355069,0.7787979289320339
XGBoost,17,0.7847560860623959,3,,,,900,0.7635280175149292,0.007689588054552691,0.01645371633720915,4.524540905246314,0.8046299781052563
XGBoost,18,0.7836949815051107,3,,,,900,0.7703693380598534,0.005062340508592144,0.023123059198479255,3.8658033813092643,0.8834844099843508
XGBoost,19,0.7848513984400738,3,,,,1200,0.6515353431786197,0.0072079372780930176,0.12112603897516928,4.246072557261024,0.9053148586949118
XGBoost,20,0.7733154985005388,3,,,,1200,0.6188484938305487,0.05435164207574121,0.16893806027344127,4.535512261906629,0.9165109971300491
XGBoost,21,0.7849578665098905,3,,,,1000,0.6634060114267735,0.007527744531704873,0.831051487185404,3.5935801205456706,0.8010751295979861
XGBoost,22,0.7849577660438106,3,,,,1000,0.6494835904644526,0.007196562690145841,0.927091263141863,3.6747430286861014,0.8460707223423021
XGBoost,23,0.7847287713362046,3,,,,1100,0.6606881375065047,0.006633593519020334,0.7607747464884469,3.1643437602009037,0.8656082712320283
XGBoost,24,0.7846880457771146,3,,,,1000,0.5295280572263028,0.01030512704078139,0.36183750828169997,5.3549094729116336,0.9385120515287854
XGBoost,25,0.7799615849181585,4,,,,1200,0.5844263946634998,0.01568582395936411,0.990957815156035,3.03055923266739,0.8579631602203047
XGBoost,26,0.7840793271613646,3,,,,1000,0.6803222620640019,0.006633569008617124,0.34920443163564335,6.343056874655115,0.9987349142404865
XGBoost,27,0.7848911423539586,4,,,,1000,0.6213326206608643,0.006432020645727448,0.18704422265413206,1.8536425291146699,0.8224289011968287
XGBoost,28,0.7847134742290647,4,,,,1000,0.5646743577009278,0.005027951199769669,0.490665984386984,1.7317047546161537,0.80900373066088
XGBoost,29,0.7847475878019117,4,,,,800,0.6069457647789039,0.0065581701937122445,0.22499787468815574,0.7594303691532661,0.7786286192495905
