model,window,class,mean_pd,median_pd,p90_pd,alert_rate,threshold
Random Forest,W0,0,0.17352856210869827,0.10651408450704225,0.32871972318339104,0.34603038733147873,0.14500000000000002
Random Forest,W0,1,0.3227555121508629,0.1978021978021978,0.6710526315789473,0.640542577241899,0.14500000000000002
Random Forest,W1,0,0.17993136572625087,0.10651408450704225,0.32871972318339104,0.3509522790498609,0.14500000000000002
Random Forest,W1,1,0.34605746701268325,0.2946058091286307,0.6710526315789473,0.6616428033157498,0.14500000000000002
Random Forest,W2,0,0.18197763497597538,0.10651408450704225,0.32871972318339104,0.3543762037235181,0.14500000000000002
Random Forest,W2,1,0.3722133607658214,0.32558139534883723,0.7608695652173914,0.7068575734740015,0.14500000000000002
Random Forest,W3,0,0.17579511248368576,0.10651408450704225,0.32871972318339104,0.3582281189813824,0.14500000000000002
Random Forest,W3,1,0.39128685996449447,0.32871972318339104,0.7608695652173914,0.747550866616428,0.14500000000000002
XGBoost,W0,0,0.1723762321320382,0.11583011597394943,0.32958802580833435,0.33190669805264283,0.165
XGBoost,W0,1,0.32730556255278054,0.2291666716337204,0.7079645991325378,0.6322532027128862,0.165
XGBoost,W1,0,0.18072831371618547,0.11583011597394943,0.3928571343421936,0.34068050502888936,0.165
XGBoost,W1,1,0.3501386328262769,0.2708333432674408,0.7079645991325378,0.6571213262999246,0.165
XGBoost,W2,0,0.18285918491648376,0.11583011597394943,0.3928571343421936,0.35480419430772525,0.165
XGBoost,W2,1,0.37670922572580645,0.30337077379226685,0.7079645991325378,0.691785983421251,0.165
XGBoost,W3,0,0.1762350679138265,0.11583011597394943,0.3928571343421936,0.3524502460945859,0.165
XGBoost,W3,1,0.3978112344970448,0.32958802580833435,0.7079645991325378,0.7400150715900528,0.165
LightGBM,W0,0,0.17374376154974833,0.10638297872340426,0.33540372670807456,0.34068050502888936,0.16
LightGBM,W0,1,0.32783174164098255,0.22131147540983606,0.7572254335260116,0.6397889977392615,0.16
LightGBM,W1,0,0.181440110818912,0.10638297872340426,0.33540372670807456,0.3492403167130323,0.16
LightGBM,W1,1,0.3519129624361835,0.22131147540983606,0.7572254335260116,0.6661642803315749,0.16
LightGBM,W2,0,0.18356834315102485,0.10638297872340426,0.4111111111111111,0.3558741707682431,0.16
LightGBM,W2,1,0.37637524938083333,0.29411764705882354,0.7572254335260116,0.6978146194423511,0.16
LightGBM,W3,0,0.17609570309153938,0.10638297872340426,0.33540372670807456,0.3543762037235181,0.16
LightGBM,W3,1,0.3967197471698572,0.33540372670807456,0.7572254335260116,0.7407686510926903,0.16
CatBoost,W0,0,0.1718067239132853,0.10596026490066225,0.35294117647058826,0.36036807190241815,0.16
CatBoost,W0,1,0.3274306608299942,0.2222222222222222,0.7272727272727273,0.6639035418236624,0.16
CatBoost,W1,0,0.17952456613457993,0.10596026490066225,0.36254980079681276,0.3670019259576289,0.16
CatBoost,W1,1,0.3526793160202832,0.2222222222222222,0.7272727272727273,0.680482290881688,0.16
CatBoost,W2,0,0.18111512652994177,0.10596026490066225,0.36254980079681276,0.36764391183393963,0.16
CatBoost,W2,1,0.37922722045002755,0.28823529411764703,0.7391304347826086,0.7234363225320272,0.16
CatBoost,W3,0,0.1749649224745408,0.10596026490066225,0.36254980079681276,0.3738497753049433,0.16
CatBoost,W3,1,0.39861939421363113,0.36254980079681276,0.7272727272727273,0.7701582516955539,0.16
LSTM,W0,0,0.1828491985797882,0.1437908560037613,0.2455357164144516,0.45388401455167987,0.155
LSTM,W0,1,0.31903141736984253,0.21282051503658295,0.6976242065429688,0.7143933685003768,0.155
LSTM,W1,0,0.18926063179969788,0.1437908560037613,0.37662336230278015,0.43548041943077254,0.155
LSTM,W1,1,0.34114548563957214,0.21282051503658295,0.6976242065429688,0.7264506405425772,0.155
LSTM,W2,0,0.18802782893180847,0.1437908560037613,0.37662336230278015,0.42071474427562594,0.155
LSTM,W2,1,0.36115026473999023,0.21282051503658295,0.6976242065429688,0.7324792765636775,0.155
LSTM,W3,0,0.17884886264801025,0.11728394776582718,0.37662336230278015,0.39567729509950783,0.155
LSTM,W3,1,0.3835853636264801,0.30054643750190735,0.6976242065429688,0.7573474001507159,0.155
