model,threshold,static_catch,static_fa,monitor_catch,monitor_fa
Random Forest,0.05,0.9886963074604371,0.9173978172480205,0.9969856819894499,0.9685426920607747
Random Forest,0.1,0.9321778447626224,0.7004065910549968,0.9721175584024114,0.8215279263856196
Random Forest,0.15,0.7467972871137905,0.35459019901562167,0.841748304446119,0.5217205221485127
Random Forest,0.2,0.73172569706104,0.3331906698052643,0.8327053504144687,0.5024609458591911
Random Forest,0.25,0.6194423511680482,0.21527926385619517,0.7294649585531273,0.33747057564733574
Random Forest,0.3,0.5508666164280331,0.15193665739353734,0.6525998492840994,0.24994650117697412
Random Forest,0.35,0.5026375282592314,0.11470147656751552,0.6021100226073851,0.19537770169056282
Random Forest,0.39999999999999997,0.41748304446119067,0.07853627220201155,0.5282592313489073,0.15257864326984807
Random Forest,0.44999999999999996,0.3519216277317257,0.05435480419430772,0.4981160512434062,0.13652899636208005
Random Forest,0.49999999999999994,0.3519216277317257,0.05435480419430772,0.4981160512434062,0.13631500106997646
Random Forest,0.5499999999999999,0.33760361718161264,0.045153006633854055,0.4905802562170309,0.13053712818317997
Random Forest,0.6,0.29163526752072344,0.03381125615236465,0.4529012810851545,0.11213353306227263
Random Forest,0.65,0.2509419743782969,0.02867536914187888,0.4054257724189902,0.09501390969398674
Random Forest,0.7,0.1175584024114544,0.00920179756045367,0.1966842501883949,0.031243312647121765
Random Forest,0.75,0.1175584024114544,0.00920179756045367,0.1966842501883949,0.03102931735501819
Random Forest,0.7999999999999999,0.050489826676714394,0.0027819387973464582,0.08515448379804069,0.009415792852557245
Random Forest,0.85,0.024868123587038434,0.0008559811684142949,0.0346646571213263,0.0034239246736571796
Random Forest,0.9,0.01733232856066315,0.00042799058420714745,0.019593067068575734,0.0017119623368285898
Random Forest,0.95,0.011303692539562924,0.00021399529210357372,0.011303692539562924,0.00021399529210357372
XGBoost,0.05,0.9917106254709872,0.9439332334688637,0.9977392614920875,0.9828803766317141
XGBoost,0.1,0.9110776186887717,0.6573935373421784,0.9577995478522984,0.8009843783436764
XGBoost,0.15,0.785983421250942,0.42028675369141877,0.8824415975885456,0.5946929167558314
XGBoost,0.2,0.66767143933685,0.2533704258506313,0.7799547852298417,0.40423710678365077
XGBoost,0.25,0.6307460437076111,0.2067194521720522,0.7339864355689525,0.3436764391183394
XGBoost,0.3,0.5810097965335342,0.16905628076182325,0.6737000753579503,0.2681361010057779
XGBoost,0.35,0.4981160512434062,0.10849561309651187,0.5802562170308968,0.18574791354590198
XGBoost,0.39999999999999997,0.45742275810097965,0.09265996148084742,0.5523737754333082,0.16734431842499464
XGBoost,0.44999999999999996,0.3858327053504145,0.0627006205863471,0.519216277317257,0.14359084100149797
XGBoost,0.49999999999999994,0.35041446872645066,0.049860903060132675,0.5056518462697814,0.13781296811470148
XGBoost,0.5499999999999999,0.35041446872645066,0.049860903060132675,0.5056518462697814,0.13781296811470148
XGBoost,0.6,0.3225320271288621,0.03958912903916114,0.492087415222306,0.12925315643055854
XGBoost,0.65,0.27807083647324793,0.03102931735501819,0.43933685003767897,0.10656965546757971
XGBoost,0.7,0.08892238131122833,0.006205863471003638,0.15674453654860587,0.021613524502460946
XGBoost,0.75,0.07309721175584025,0.0044939011341750485,0.1333835719668425,0.014123689278835866
XGBoost,0.7999999999999999,0.07309721175584025,0.0044939011341750485,0.1333835719668425,0.014123689278835866
XGBoost,0.85,0.03918613413715147,0.002353948213139311,0.07309721175584025,0.008345816392039376
XGBoost,0.9,0.010550113036925395,0.00021399529210357372,0.012057272042200452,0.0008559811684142949
XGBoost,0.95,0.010550113036925395,0.00021399529210357372,0.012057272042200452,0.0008559811684142949
LightGBM,0.05,0.9947249434815373,0.9580569227476996,0.9984928409947249,0.9895142306869249
LightGBM,0.1,0.9163526752072344,0.6753691418788786,0.9638281838733986,0.8123261288251659
LightGBM,0.15,0.8070836473247928,0.44425422640701906,0.8975131876412962,0.6229402953135031
LightGBM,0.2,0.7091183119819141,0.30665525358442114,0.8244159758854559,0.4763535202225551
LightGBM,0.25,0.6081386586284853,0.19173978172480205,0.7083647324792766,0.3248448534132249
LightGBM,0.3,0.5546345139412208,0.14508880804622298,0.6412961567445365,0.23518082602182752
LightGBM,0.35,0.5109269027882442,0.12326128825165847,0.5975885455915599,0.20179756045367003
LightGBM,0.39999999999999997,0.43556895252449135,0.08345816392039375,0.5365486058779201,0.16092445966188743
LightGBM,0.44999999999999996,0.39788997739261495,0.0676225123047293,0.5214770158251696,0.15172266210143376
LightGBM,0.49999999999999994,0.3556895252449133,0.05071688422854697,0.5124340617935192,0.1425208645409801
LightGBM,0.5499999999999999,0.3556895252449133,0.05071688422854697,0.5124340617935192,0.14230686924887653
LightGBM,0.6,0.3474001507159005,0.050074898352236254,0.5109269027882442,0.14080890220415151
LightGBM,0.65,0.23587038432554636,0.023325486839289537,0.3933685003767898,0.08431414508880805
LightGBM,0.7,0.1333835719668425,0.009629788144660818,0.24114544084400905,0.0374491761181254
LightGBM,0.75,0.04747550866616428,0.004065910549967901,0.09721175584024115,0.010057778728867964
LightGBM,0.7999999999999999,0.04672192916352675,0.004065910549967901,0.09721175584024115,0.010057778728867964
LightGBM,0.85,0.04295403165033911,0.0036379199657607534,0.08967596081386586,0.009415792852557245
LightGBM,0.9,0.0,0.0,0.0,0.0
LightGBM,0.95,0.0,0.0,0.0,0.0
CatBoost,0.05,0.9886963074604371,0.9212497325058848,0.9962321024868124,0.963834795634496
CatBoost,0.1,0.9351921627731725,0.708324416862829,0.9668425018839487,0.8159640487909267
CatBoost,0.15,0.7694046721929163,0.37106783650759684,0.8575734740015072,0.5215065268564092
CatBoost,0.2,0.7008289374529013,0.29595548897924245,0.7972871137905049,0.4365503958912904
CatBoost,0.25,0.5953278070836473,0.17954205007489835,0.6880180859080633,0.2781938797346458
CatBoost,0.3,0.557648831951771,0.15022469505670874,0.6330067822155238,0.22662101433768458
CatBoost,0.35,0.5154483798040693,0.12283329766745131,0.5892991710625471,0.1938797346458378
CatBoost,0.39999999999999997,0.4370761115297664,0.0838861545046009,0.5403165033911078,0.15771453028033383
CatBoost,0.44999999999999996,0.3896006028636021,0.05949069120479349,0.5252449133383572,0.14701476567515515
CatBoost,0.49999999999999994,0.3896006028636021,0.05949069120479349,0.5252449133383572,0.14701476567515515
CatBoost,0.5499999999999999,0.33232856066315,0.0415150866680933,0.5018839487565938,0.13588701048576932
CatBoost,0.6,0.33232856066315,0.0415150866680933,0.5018839487565938,0.13588701048576932
