model,target_fa,static_threshold,monitor_threshold,static_catch,static_fa,monitor_catch,monitor_fa,only_monitor_catches,only_static_catches,mean_lead_caught
Random Forest,0.05,0.525,0.6649999999999998,0.3519216277317257,0.05435480419430772,0.4046721929163527,0.09479991440188316,133,63,1.9366852886405959
Random Forest,0.1,0.352112676056338,0.6363636363636364,0.5026375282592314,0.11470147656751552,0.4529012810851545,0.11213353306227263,72,138,1.9916805324459235
Random Forest,0.2,0.28865979381443296,0.3280632411067193,0.6021100226073851,0.20094157928525572,0.6525998492840994,0.24994650117697412,103,36,2.264434180138568
XGBoost,0.05,0.48148149251937866,0.6942675113677979,0.36623963828183875,0.056494757115343464,0.31047475508666167,0.053284827733789855,85,159,1.924757281553398
XGBoost,0.1,0.375,0.6511628031730652,0.4981160512434062,0.10849561309651187,0.43933685003767897,0.10635566017547614,43,121,2.0428816466552315
XGBoost,0.2,0.260869562625885,0.3219512104988098,0.6254709871891485,0.20136956986946286,0.6345139412207988,0.22704900492189173,72,60,2.1947743467933494
LightGBM,0.05,0.5917460317460133,0.6886227544910181,0.3474001507159005,0.050074898352236254,0.3896006028636021,0.08281617804408303,146,90,2.025145067698259
LightGBM,0.1,0.36792452830188677,0.6354679802955666,0.5109269027882442,0.12326128825165847,0.4981160512434062,0.132035095227905,71,88,2.048411497730711
LightGBM,0.2,0.21712538226299694,0.36792452830188677,0.6601356443104748,0.24759255296383478,0.5975885455915599,0.20179756045367003,46,129,2.1525851197982346
CatBoost,0.05,0.5302013422818792,0.6857142857142857,0.3896006028636021,0.05949069120479349,0.37678975131876413,0.06933447464155788,90,107,2.026
CatBoost,0.1,0.3717105263157895,0.6630434782608695,0.5146948003014318,0.12283329766745131,0.4461190655614167,0.10742563663599401,36,127,2.0996621621621623
CatBoost,0.2,0.23306772908366535,0.3105263157894737,0.6774679728711379,0.26578215279263856,0.6330067822155238,0.22662101433768458,51,110,2.1940476190476192
LSTM,0.05,0.5182926654815674,0.7008086442947388,0.359457422758101,0.054996790070618445,0.39638281838733985,0.10785362722020116,143,94,2.192015209125475
LSTM,0.1,0.31617647409439087,0.7008086442947388,0.47324792765636775,0.10507168842285469,0.39638281838733985,0.10785362722020116,57,159,2.192015209125475
LSTM,0.2,0.18493150174617767,0.2401960790157318,0.6171816126601356,0.22276909907982023,0.6103993971363979,0.22918895784292745,64,73,2.0901234567901232
